Index;Typologie_zone;Type_voie;Nombre_voies;Distance_capteur_voie;Position_capteurs;Presence_arbres;Feuille_arbres;Morphologie_urbaine;Hauteur_batiments;Distance_capteur_batiment;Particularite;Trafic_Routier_vehicule_leger;Trafic_Routier_poids_lourds;Trafic_Routier_2_roues;emission_moyenne_annuelle_kg_maille_an;Donnees_Cartographie
c49;4.0;0.0;3.0;3.0;5.0;2.0;2.0;1.0;5.0;6.0;0.0;800.0;0.0;0.0;2112.0;22.6000003814697
c50;2.0;3.0;0.0;0.0;7.0;2.0;1.0;1.0;2.0;1.0;9.0;31424.0;495.0;511.0;2270.0;47.4000015258789
c51;2.0;3.0;0.0;0.0;0.0;2.0;2.0;1.0;3.0;3.0;11.0;31424.0;495.0;511.0;2270.0;30.7999992370605
c52;4.0;3.0;3.0;3.0;5.0;0.0;0.0;1.0;5.0;6.0;5.0;800.0;0.0;0.0;2565.0;16.3999996185303
c53;4.0;2.0;1.0;3.0;7.0;2.0;1.0;3.0;1.0;5.0;5.0;800.0;0.0;0.0;2565.0;16.0
c54;4.0;4.0;3.0;0.0;7.0;2.0;3.0;2.0;5.0;6.0;3.0;800.0;0.0;0.0;2991.0;22.2999992370605
c55;4.0;4.0;5.0;3.0;3.0;0.0;0.0;2.0;5.0;6.0;11.0;800.0;0.0;0.0;3242.0;27.7999992370605
c56;4.0;3.0;2.0;3.0;7.0;2.0;3.0;1.0;5.0;2.0;3.0;800.0;0.0;0.0;2270.0;17.0
c57;4.0;3.0;2.0;3.0;7.0;2.0;3.0;1.0;5.0;2.0;3.0;800.0;0.0;0.0;2270.0;19.7000007629395
c58;4.0;0.0;3.0;3.0;2.0;0.0;0.0;1.0;2.0;1.0;4.0;4337.0;59.0;70.0;2270.0;19.8999996185303
c59;4.0;3.0;3.0;3.0;7.0;2.0;3.0;1.0;2.0;1.0;11.0;4337.0;59.0;70.0;2270.0;20.7000007629395
c60;1.0;3.0;3.0;0.0;5.0;0.0;0.0;3.0;1.0;5.0;2.0;800.0;0.0;0.0;2036.0;17.0
c61;1.0;3.0;3.0;0.0;5.0;0.0;0.0;3.0;1.0;5.0;2.0;800.0;0.0;0.0;2182.0;16.1000003814697
c62;4.0;0.0;2.0;3.0;0.0;2.0;1.0;1.0;5.0;4.0;4.0;800.0;0.0;0.0;2991.0;20.6000003814697
c63;4.0;0.0;5.0;3.0;5.0;2.0;3.0;1.0;3.0;2.0;11.0;800.0;0.0;0.0;2270.0;20.2999992370605
c64;1.0;4.0;3.0;0.0;0.0;2.0;3.0;2.0;5.0;6.0;7.0;800.0;0.0;0.0;1885.0;27.7000007629395
c65;4.0;2.0;1.0;1.0;5.0;2.0;1.0;3.0;1.0;5.0;11.0;800.0;0.0;0.0;3242.0;24.0
